Hora	NO2	PM2.5	PM10	Calidad_del_aire
0	74	23.032	38.522	Regular 
1	60	23.895	39.32	Regular 
2	59	24.73	40.094	Regular 
3	53	25.367	40.739	Desfavorable
4	42	25.863	41.95	Desfavorable
5	36	26.241	41.516	Desfavorable
6	32	26.515	41.812	Desfavorable
7	32	26.722	42.117	Desfavorable
8	40	26.88	42.237	Desfavorable
9	48	26.972	42.207	Desfavorable
10	46	26.951	41.958	Desfavorable
11	48	26.912	41.199	Desfavorable
12	46	27.061	41.093	Desfavorable
13	43	27.182	40.962	Desfavorable
14	31	27.215	40.856	Desfavorable
15	26	27.228	40.672	Desfavorable
16	30	27.247	40.478	Desfavorable
17	31	27.202	40.312	Desfavorable
18	39	24.175	40.505	Desfavorable
19	69	27.739	40.734	Desfavorable
20	90	28.365	41.122	Desfavorable
21	100	28.943	41.265	Desfavorable
22	90	29.014	41.047	Desfavorable
23	73	28.86	40.72	Desfavorable
